"Winning Team
WIN",Spotted Accuracy,Time to Damage,Cross. Placement,Head Accuracy,HS Kill %,Spray Accuracy,Counter-Strafing,Accuracy (All)

HnK-,28%,781ms,9.65°,16%,50%,18%,74%,13%
loirinho bundudo,33%,594ms,8.01°,10%,36%,39%,66%,16%
ma1onesY,42%,719ms,9.77°,14%,30%,46%,82%,18%
MARIDÃO,37%,625ms,8.93°,20%,52%,49%,79%,19%
MKN_15,38%,609ms,16.91°,5%,17%,38%,67%,24%

contrilao,25%,688ms,8.67°,21%,60%,25%,87%,14%
EvnnmONster,38%,609ms,11.55°,9%,27%,44%,79%,19%
katarinenze,39%,578ms,10.07°,18%,47%,38%,71%,17%
PenkZinhooUPF,33%,672ms,5.44°,8%,33%,32%,80%,19%
Xandy,22%,750ms,10.45°,20%,44%,25%,59%,16%
