"Winning Team
WIN",Spotted Accuracy,Time to Damage,Cross. Placement,Head Accuracy,HS Kill %,Spray Accuracy,Counter-Strafing,Accuracy (All)

⑩ fellipexx,41%,625ms,9.03°,11%,42%,36%,92%,30%
⑭ omiranha feminista,43%,484ms,9.11°,7%,19%,46%,86%,25%
⑱ edshot machine,36%,469ms,8.32°,23%,29%,29%,100%,17%
☆ ⑲ -FaeLzITO-M.D-,41%,594ms,13.37°,9%,26%,34%,94%,16%
✓ ☆ ⑲ jkrrrrrrrrr,34%,563ms,9.55°,24%,58%,37%,82%,20%

⑩ Batataue,22%,625ms,15.62°,24%,57%,31%,76%,6%
✓ ⑯ GrootUPF,33%,656ms,11.71°,15%,33%,53%,84%,15%
✓ ⑲ D$DMUPF,32%,750ms,8.69°,8%,27%,36%,76%,22%
✓ ☆ ⑱ MattTWDUPF,39%,625ms,10.25°,12%,38%,32%,80%,17%
✓ ☆ ⑱ The MarschaLLUPF,29%,547ms,7.13°,7%,50%,25%,29%,21%
