"Winning Team
WIN",Spotted Accuracy,Time to Damage,Cross. Placement,Head Accuracy,HS Kill %,Spray Accuracy,Counter-Strafing,Accuracy (All)

© ⑯ -- AND3RSON C.B --,22%,516ms,7.62°,15%,17%,27%,81%,13%
★ ⑩ NEGUEBA,44%,656ms,8.28°,32%,65%,47%,80%,24%
★ ⑮ Seu Chico - LANCKER,30%,531ms,4.39°,18%,100%,n/a,n/a,23%
★ ⑲ 100skill,44%,531ms,9.79°,17%,35%,40%,69%,17%
✓ ★ ⑱ depressed man,35%,563ms,6.12°,20%,50%,44%,100%,10%
✓ ☆ ⑰ xaka,43%,438ms,5.65°,21%,29%,100%,69%,23%

⑩ Batataue,26%,625ms,11.19°,20%,57%,44%,93%,8%
✓ ⑯ GrootUPF,32%,578ms,10.25°,13%,50%,43%,84%,20%
✓ ⑲ D$DMUPF,51%,469ms,5.47°,20%,52%,68%,89%,25%
✓ ☆ ⑰ MarschaLLUPF,39%,672ms,10.98°,12%,46%,39%,88%,25%
✓ ☆ ⑱ MattTWDUPF,41%,563ms,8.93°,17%,40%,57%,79%,12%
