"Winning Team
WIN",Kills,Assists,Deaths,,K/D,ADR,,2K,3K,4K,5K,,HLTV Rating,Rating,Personal Performance

HnK-,10,3,18,,0.56,52,,1,0,0,0,,0.59,-6.60,-3.79
loirinho bundudo,14,5,16,,0.88,74,,2,1,0,0,,0.88,-1.78,-3.12
ma1onesY,30,1,14,,2.14,114,,4,2,0,1,,1.83,+8.60,+4.63
MARIDÃO,25,3,12,,2.08,105,,6,2,0,0,,1.54,+9.69,+7.00
MKN_15,18,2,16,,1.13,79,,3,1,0,0,,1.04,+1.97,+1.52

contrilao,10,2,20,,0.50,54,,0,1,0,0,,0.57,-6.71,-5.79
EvnnmONster,26,2,17,,1.53,119,,4,3,0,0,,1.43,+8.51,+7.45
katarinenze,19,2,20,,0.95,80,,2,0,1,0,,0.98,-1.34,-1.10
PenkZinhooUPF,12,3,19,,0.63,61,,2,0,0,0,,0.64,-3.91,-4.40
Xandy,9,3,22,,0.41,46,,1,0,0,0,,0.42,-8.51,-4.77
