"Winning Team
WIN",Kills,Assists,Deaths,,K/D,ADR,,2K,3K,4K,5K,,HLTV Rating,Rating,Personal Performance

⑩ fellipexx,12,7,14,,0.86,76,,2,1,0,0,,0.89,-1.84,+1.31
⑭ omiranha feminista,16,6,15,,1.07,89,,5,0,1,0,,1.19,+1.06,+1.39
⑱ edshot machine,21,3,6,,3.50,104,,5,0,1,0,,1.77,+9.13,+7.07
☆ ⑲ -FaeLzITO-M.D-,19,5,9,,2.11,94,,2,2,0,0,,1.48,+11.08,+11.00
✓ ☆ ⑲ jkrrrrrrrrr,19,2,13,,1.46,91,,6,0,0,0,,1.25,+2.02,+1.32

⑩ Batataue,7,1,18,,0.39,36,,1,0,0,0,,0.40,-10.41,-7.70
✓ ⑯ GrootUPF,15,1,17,,0.88,75,,1,1,0,0,,0.87,-1.23,+0.15
✓ ⑲ D$DMUPF,15,3,17,,0.88,91,,3,1,0,0,,0.92,+1.67,-1.01
✓ ☆ ⑱ MattTWDUPF,16,5,18,,0.89,103,,4,0,0,0,,0.87,-3.39,-4.39
✓ ☆ ⑱ The MarschaLLUPF,4,3,18,,0.22,41,,1,0,0,0,,0.28,-8.21,-8.14
