"Winning Team
WIN",Kills,Assists,Deaths,,K/D,ADR,,2K,3K,4K,5K,,HLTV Rating,Rating,Personal Performance

© ⑯ -- AND3RSON C.B --,6,5,11,,0.55,56,,1,0,0,0,,0.62,-7.96,-2.77
★ ⑩ NEGUEBA,20,2,9,,2.22,91,,3,2,0,0,,1.45,+6.24,+7.14
★ ⑮ Seu Chico - LANCKER,1,2,3,,0.33,65,,0,0,0,0,,0.41,-7.74,-1.54
★ ⑲ 100skill,23,4,14,,1.64,105,,4,1,1,0,,1.48,+3.46,+3.04
✓ ★ ⑱ depressed man,18,2,9,,2.00,83,,5,1,0,0,,1.35,+3.82,+3.93
✓ ☆ ⑰ xaka,24,2,13,,1.85,103,,8,0,0,0,,1.43,+7.76,+7.18

⑩ Batataue,7,1,18,,0.39,34,,0,0,0,0,,0.43,-5.59,-2.85
✓ ⑯ GrootUPF,8,4,22,,0.36,60,,0,1,0,0,,0.40,-9.18,-7.98
✓ ⑲ D$DMUPF,21,1,19,,1.11,86,,3,2,0,0,,1.13,+2.38,-0.36
✓ ☆ ⑰ MarschaLLUPF,13,3,19,,0.68,66,,2,1,0,0,,0.74,+3.00,+3.19
✓ ☆ ⑱ MattTWDUPF,10,7,18,,0.56,61,,1,0,0,0,,0.57,-2.48,-3.35
