"Winning Team
WIN",Flash Assists,Enemies flashed,Friends flashed,Avg blind time,Avg HE damage,Avg HE team damage,Avg unused utility,Good CT Smokes

HnK-,n/a,n/a,n/a,n/a,12.29,0.00,611$,n/a
loirinho bundudo,0%,0.50,0.75,2.3sec,5.44,0.11,494$,100%
ma1onesY,7%,0.43,0.36,2.7sec,7.50,0.00,150$,0%
MARIDÃO,0%,0.14,0.57,2.0sec,18.25,0.00,708$,33%
MKN_15,0%,0.20,0.00,3.4sec,19.33,0.00,519$,14%

contrilao,0%,0.40,0.20,2.7sec,9.50,0.00,255$,100%
EvnnmONster,4%,0.57,0.43,2.5sec,11.10,0.00,129$,78%
katarinenze,8%,0.69,0.38,3.0sec,2.90,0.00,240$,18%
PenkZinhooUPF,11%,0.67,0.44,4.1sec,6.67,0.00,384$,60%
Xandy,0%,0.00,1.00,0.0sec,n/a,n/a,482$,n/a
