"Winning Team
WIN",Flash Assists,Enemies flashed,Friends flashed,Avg blind time,Avg HE damage,Avg HE team damage,Avg unused utility,Good CT Smokes

⑩ fellipexx,0%,0.00,0.00,0.9sec,0.00,0.00,439$,33%
⑭ omiranha feminista,27%,0.73,0.13,3.4sec,9.00,0.00,410$,50%
⑱ edshot machine,9%,0.91,0.00,3.2sec,6.00,3.50,283$,45%
☆ ⑲ -FaeLzITO-M.D-,6%,0.39,0.22,2.2sec,15.08,0.00,122$,44%
✓ ☆ ⑲ jkrrrrrrrrr,7%,0.57,0.29,2.8sec,22.83,0.00,304$,60%

⑩ Batataue,17%,0.33,0.33,3.5sec,4.80,5.60,153$,0%
✓ ⑯ GrootUPF,0%,1.00,0.00,4.0sec,9.14,0.00,394$,0%
✓ ⑲ D$DMUPF,9%,0.73,0.45,2.9sec,17.00,0.00,215$,0%
✓ ☆ ⑱ MattTWDUPF,8%,0.69,0.54,3.0sec,11.00,0.00,289$,0%
✓ ☆ ⑱ The MarschaLLUPF,14%,0.43,0.00,2.4sec,15.57,0.00,256$,100%
