"Winning Team
WIN",Flash Assists,Enemies flashed,Friends flashed,Avg blind time,Avg HE damage,Avg HE team damage,Avg unused utility,Good CT Smokes

© ⑯ -- AND3RSON C.B --,0%,0.50,0.38,2.6sec,19.54,0.00,127$,80%
★ ⑩ NEGUEBA,8%,0.58,0.00,3.0sec,1.70,4.00,189$,67%
★ ⑮ Seu Chico - LANCKER,0%,0.50,0.00,2.3sec,0.00,0.00,0$,100%
★ ⑲ 100skill,18%,0.64,0.18,3.7sec,18.71,0.00,179$,57%
✓ ★ ⑱ depressed man,10%,0.86,0.14,3.2sec,4.42,0.17,240$,50%
✓ ☆ ⑰ xaka,0%,0.43,0.14,3.1sec,9.11,0.00,377$,0%

⑩ Batataue,0%,0.38,0.13,2.7sec,3.20,0.00,122$,0%
✓ ⑯ GrootUPF,0%,2.00,0.00,4.4sec,9.00,1.00,182$,0%
✓ ⑲ D$DMUPF,0%,0.31,0.19,2.3sec,78.00,0.00,300$,50%
✓ ☆ ⑰ MarschaLLUPF,0%,0.67,0.56,3.3sec,12.13,0.00,279$,33%
✓ ☆ ⑱ MattTWDUPF,9%,0.82,0.45,3.5sec,12.00,0.00,447$,100%
