Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Vertigo,16 hours ago,16 : 9,0.19,23,15,1.53,73,59,Gamers Club,/app/match-details/77668484-31bb-40ff-b8c8-fa9057f0de7f
Inferno,17 hours ago,14 : 16,5.07,33,16,2.06,65,74,Gamers Club,/app/match-details/f84fcf02-856a-4c80-aed5-17ed0d8cf450
Nuke,18 hours ago,7 : 16,0.22,12,18,0.67,50,50,Gamers Club,/app/match-details/53b68918-fbf1-40a8-8f66-071572b99021
Dust2,2023-06-16,16 : 9,2.24,17,15,1.13,57,62,Steam,/app/match-details/cd1ff825-5233-4bf5-92c8-c0921da202b1
Ancient,2023-06-16,12 : 16,3.08,20,21,0.95,54,68,Gamers Club,/app/match-details/3f75496b-a101-493f-afe5-cdf629dbd68b
Dust2,2023-06-16,13 : 16,0.22,22,23,0.96,73,59,Gamers Club,/app/match-details/35e84fb7-6828-4eec-a535-862a2afae652
Ancient,2023-06-12,16 : 12,-1.15,22,20,1.1,61,54,Gamers Club,/app/match-details/48202268-3349-44eb-b4d9-b791056f419a
Inferno,2023-06-12,13 : 16,-3.69,20,21,0.95,77,66,Gamers Club,/app/match-details/1122099b-7fd7-40af-b40b-d7d0ea2c4938
Dust2,2023-06-12,16 : 6,0.95,16,9,1.78,67,47,Gamers Club,/app/match-details/119ef887-82bc-43cc-b353-958504c11b91
Overpass,2023-06-06,14 : 16,2.21,22,21,1.05,65,56,Gamers Club,/app/match-details/28947206-db6f-45e0-a93c-e7e1b0fd6b8b
Ancient,2023-05-30,22 : 25,0.32,36,34,1.06,67,41,Gamers Club,/app/match-details/9f75ef76-89a7-4b77-b8fd-4a7f76c9005f
Ancient,2023-05-25,16 : 7,-0.76,18,16,1.13,56,63,Gamers Club,/app/match-details/e4e35503-959f-4b3a-9180-de3167315863
Inferno,2023-05-25,10 : 16,-5.77,10,19,0.53,72,61,Gamers Club,/app/match-details/bb6ff87f-a706-48ba-9ee8-3baa04a51f15
Inferno,2023-05-19,19 : 17,6.53,32,27,1.19,79,60,Gamers Club,/app/match-details/a7a058b6-1e29-43f8-a21b-78d126f1784a
Ancient,2023-05-19,16 : 6,5.81,21,11,1.91,58,42,Gamers Club,/app/match-details/76c5e1dd-ed72-4061-9b62-f9fce3f6db4e
Dust2,2023-05-14,8 : 16,0.1,22,18,1.22,71,62,Steam,/app/match-details/253b61c3-cceb-44cd-989d-30065a501784
