Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Vertigo,2023-06-15,16 : 9,-1.78,15,16,0.94,56,22,Gamers Club,/app/match-details/16c80f27-8277-4dfb-a52a-5eb46961fcaf
Overpass,2023-06-06,14 : 16,-5.16,10,22,0.45,36,52,Gamers Club,/app/match-details/28947206-db6f-45e0-a93c-e7e1b0fd6b8b
Inferno,2023-06-05,4 : 16,-10.41,7,18,0.39,48,54,Gamers Club,/app/match-details/7486ed72-6845-490d-8b1f-b7c4c40ad142
Overpass,2023-06-05,12 : 16,-6.98,11,18,0.61,60,56,Gamers Club,/app/match-details/0c3bf001-c56e-4b54-aedf-427ff891194a
Anubis,2023-06-02,16 : 11,0.19,18,19,0.95,69,61,Gamers Club,/app/match-details/b21b46c8-f5a4-4cfd-bb98-1a5869ba00f5
Ancient,2023-06-01,16 : 4,5.3,23,12,1.92,66,61,Gamers Club,/app/match-details/e246779c-8bce-47f2-92d3-25d9eed0f9c8
Anubis,2023-06-01,16 : 7,-0.43,17,13,1.31,49,51,Gamers Club,/app/match-details/cb9379fd-449d-4cd4-a071-dbcc164181d1
Vertigo,2023-05-31,7 : 16,-5.06,15,20,0.75,79,44,Gamers Club,/app/match-details/bd0b259b-ad8f-49a1-91be-b3727aa34ace
Nuke,2023-05-28,16 : 14,-6.61,9,25,0.36,36,50,Gamers Club,/app/match-details/81b1b57d-9492-46e6-a4e5-ea1f32fcb6e2
Overpass,2023-05-28,16 : 14,-3.59,16,22,0.73,69,36,Gamers Club,/app/match-details/3b5d49bc-dca6-444a-921c-dfc36cee177c
Ancient,2023-05-28,16 : 3,-3.54,11,13,0.85,29,40,Gamers Club,/app/match-details/84a7c8f2-e419-4071-8dff-4dfc5fdad32d
Inferno,2023-05-24,9 : 16,-1.93,13,19,0.68,68,55,Gamers Club,/app/match-details/eab96a2e-3843-4792-a8c8-9396e0e4ca5c
Vertigo,2023-05-24,16 : 6,-3.46,12,13,0.92,25,55,Gamers Club,/app/match-details/7c161adb-0ec8-41d2-bfa6-5543f05161c2
Anubis,2023-05-24,16 : 2,8.75,17,10,1.7,73,63,Gamers Club,/app/match-details/dac239dd-bb2a-48c8-89e4-2defe3222661
Overpass,2023-05-23,9 : 16,2.14,21,18,1.17,51,48,Gamers Club,/app/match-details/3d55510b-398f-4f6d-b620-4de57b4a0c2e
Nuke,2023-05-23,14 : 16,1.38,22,22,1.0,55,84,Gamers Club,/app/match-details/687cdc5a-fd4a-429a-ba98-c4fe6026543d
Overpass,2023-05-22,16 : 19,-3.77,15,25,0.6,55,51,Gamers Club,/app/match-details/f163c81e-5e09-4b00-9794-537ca5506466
Inferno,2023-05-22,6 : 16,-0.44,12,19,0.63,65,50,Gamers Club,/app/match-details/d8a746af-9151-4941-bb0f-4078179c75dc
Ancient,2023-05-22,16 : 6,-5.24,11,14,0.79,46,46,Gamers Club,/app/match-details/327da578-4ff6-4a8a-b7f3-7e5d323bc4ca
Vertigo,2023-05-21,11 : 16,-3.99,18,21,0.86,49,60,Gamers Club,/app/match-details/b136f2fe-73ee-4fdd-9549-29bdbf7df39f
Inferno,2023-05-21,16 : 13,0.87,23,17,1.35,61,63,Gamers Club,/app/match-details/8197cd0a-2e97-4628-baef-889adeaf2e12
Ancient,2023-05-21,16 : 10,-5.27,12,19,0.63,54,44,Gamers Club,/app/match-details/b0c1b5ff-2ff2-4642-9fd4-8bbd0de8c6e1
Vertigo,2023-05-20,16 : 10,-2.8,12,16,0.75,46,91,Gamers Club,/app/match-details/67e755ff-dc66-48c2-acc6-6c119201647c
Nuke,2023-05-20,7 : 16,-2.77,13,15,0.87,52,48,Gamers Club,/app/match-details/a4915c38-1464-4a87-b6ff-69fa0e41f3b3
Anubis,2023-05-19,0 : 9,-9.1,2,9,0.22,37,67,Steam,/app/match-details/0ee32533-b054-49c0-9d24-ddeed343d250
Vertigo,2023-05-19,16 : 6,-3.3,11,12,0.92,59,62,Gamers Club,/app/match-details/858d2367-1eb9-4619-b10a-92a060335523
Inferno,2023-05-18,16 : 11,1.69,21,12,1.75,61,52,Gamers Club,/app/match-details/d762dcc6-5c9f-488f-b075-1713687c0b88
Vertigo,2023-05-18,11 : 16,-3.63,15,19,0.79,69,26,Gamers Club,/app/match-details/34b1db51-ea9a-4875-b6b0-bd029557aa87
Anubis,2023-05-15,11 : 16,-5.78,13,23,0.57,74,57,Gamers Club,/app/match-details/29baf5aa-0ab5-4129-9413-c9e01722abcc
Dust2,2023-05-15,2 : 16,-8.33,8,16,0.5,67,55,Gamers Club,/app/match-details/434f15d5-378d-4728-b8c3-99db68f2958b
Inferno,2023-05-11,11 : 16,-6.83,8,20,0.4,57,52,Gamers Club,/app/match-details/218736a0-5e7e-45d5-8e3b-821ff3b4be3c
Ancient,2023-05-08,16 : 8,1.85,10,11,0.91,45,25,Gamers Club,/app/match-details/0d10d915-3fba-45bc-af45-2e3ad82d11a0
Inferno,2023-05-04,13 : 16,-2.69,14,19,0.74,56,73,Gamers Club,/app/match-details/f73d79de-168a-41af-b8d2-86bae726be4f
Ancient,2023-05-04,12 : 16,-3.32,12,23,0.52,59,46,Gamers Club,/app/match-details/d41ff430-d68a-4210-9b4d-fbe7ac547b63
Inferno,2023-05-01,12 : 16,2.62,20,17,1.18,72,50,Gamers Club,/app/match-details/da938eb3-4303-46d4-81cc-c6442c25180d
Vertigo,2023-05-01,15 : 18,0.0,18,19,0.95,63,51,Gamers Club,/app/match-details/6081a21c-cd29-4a65-95e2-d02ecf75c42b
Ancient,2023-04-30,16 : 13,2.25,17,19,0.89,68,52,Gamers Club,/app/match-details/38b25981-88cf-4db9-921a-e06b78c7dfb7
Ancient,2023-04-29,13 : 16,-0.53,20,20,1.0,77,55,Gamers Club,/app/match-details/e9a5f06e-ddb4-46c5-a609-c3edcfad51a1
Inferno,2023-04-28,9 : 16,-0.85,13,18,0.72,58,66,Gamers Club,/app/match-details/820edc13-34df-41b1-9484-6b6fd2a8ca1d
Inferno,2023-04-10,16 : 5,-0.32,10,7,1.43,59,74,Gamers Club,/app/match-details/995584db-db46-4bc5-8d81-567679d83416
Dust2,2023-04-10,14 : 16,-3.99,14,21,0.67,40,54,Gamers Club,/app/match-details/a70a0451-fb5f-4d80-a12a-027c0ae8383b
Dust2,2023-04-09,16 : 11,-1.67,16,16,1.0,70,36,Gamers Club,/app/match-details/40753171-14d9-4954-95c1-e14689d6644e
Ancient,2023-04-09,16 : 2,-1.18,11,11,1.0,61,41,Gamers Club,/app/match-details/08e76253-d138-4af1-b720-1da6528ee83d
Vertigo,2023-04-09,16 : 13,-1.27,15,19,0.79,48,42,Gamers Club,/app/match-details/da07e30d-648a-40b6-934e-443821211cfa
Dust2,2023-04-09,19 : 16,-4.6,13,22,0.59,53,41,Gamers Club,/app/match-details/564f5bcc-27c7-46a7-aeda-d428c469a5ef
Vertigo,2023-04-05,17 : 19,-5.37,20,25,0.8,57,45,Gamers Club,/app/match-details/dd40fd0e-b702-4c75-b7a3-f9c7c4155f33
Inferno,2023-04-05,19 : 15,2.57,22,21,1.05,67,59,Gamers Club,/app/match-details/b3b56c3a-4ea6-4fba-bfe7-20fcc46d368b
Ancient,2023-04-05,14 : 16,0.03,21,22,0.95,71,54,Gamers Club,/app/match-details/fb38bb1a-4d23-4827-a0c9-bcd986db9683
Overpass,2023-04-03,10 : 16,-7.44,7,24,0.29,38,67,Gamers Club,/app/match-details/48a19b75-8b73-46b7-bf92-e1d17912cbd3
Nuke,2023-04-03,8 : 16,-0.24,14,21,0.67,58,57,Gamers Club,/app/match-details/45139960-3154-4e12-a743-37fe99b39585
Inferno,2023-04-03,8 : 16,-6.27,12,20,0.6,41,68,Gamers Club,/app/match-details/d2218055-9eaf-405b-8e24-75c03fabb782
Vertigo,2023-04-02,14 : 16,-8.52,7,23,0.3,42,48,Gamers Club,/app/match-details/9b6fef5b-1788-423a-934e-16c7a7806a75
