Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Vertigo,16 hours ago,16 : 9,6.13,23,14,1.64,83,51,Gamers Club,/app/match-details/77668484-31bb-40ff-b8c8-fa9057f0de7f
Inferno,17 hours ago,14 : 16,1.54,26,17,1.53,77,66,Gamers Club,/app/match-details/f84fcf02-856a-4c80-aed5-17ed0d8cf450
Nuke,18 hours ago,7 : 16,-0.37,15,18,0.83,78,63,Gamers Club,/app/match-details/53b68918-fbf1-40a8-8f66-071572b99021
Ancient,20 hours ago,16 : 8,9.7,23,11,2.09,96,79,Gamers Club,/app/match-details/a38bbd75-a96e-47c6-99ad-5e09d88baee5
Dust2,2023-06-16,16 : 9,10.39,29,14,2.07,74,46,Steam,/app/match-details/cd1ff825-5233-4bf5-92c8-c0921da202b1
Ancient,2023-06-16,12 : 16,1.61,22,19,1.16,90,57,Gamers Club,/app/match-details/3f75496b-a101-493f-afe5-cdf629dbd68b
Dust2,2023-06-16,13 : 16,4.12,31,23,1.35,88,47,Gamers Club,/app/match-details/35e84fb7-6828-4eec-a535-862a2afae652
Dust2,2023-06-14,16 : 7,11.92,26,9,2.89,93,67,Gamers Club,/app/match-details/d8132d78-ab6e-4547-a03c-620d791c8029
Anubis,2023-06-14,16 : 13,7.25,28,18,1.56,94,37,Gamers Club,/app/match-details/8f697ef8-40ed-4b02-bd13-1f1e6900ce50
Ancient,2023-06-12,16 : 12,3.86,24,16,1.5,95,52,Gamers Club,/app/match-details/48202268-3349-44eb-b4d9-b791056f419a
Inferno,2023-06-12,13 : 16,3.26,28,16,1.75,96,71,Gamers Club,/app/match-details/1122099b-7fd7-40af-b40b-d7d0ea2c4938
Dust2,2023-06-12,16 : 6,3.01,21,12,1.75,91,45,Gamers Club,/app/match-details/119ef887-82bc-43cc-b353-958504c11b91
Dust2,2023-06-08,16 : 13,4.81,24,18,1.33,88,63,Steam,/app/match-details/0715f8dc-ea19-44d3-af94-f752e6ebc27e
Mirage,2023-06-08,16 : 13,7.86,26,18,1.44,85,43,Steam,/app/match-details/7bb51d9f-3361-492a-a315-237f0c3e73dd
Vertigo,2023-06-05,14 : 16,2.16,28,18,1.56,73,46,Gamers Club,/app/match-details/b3863422-1576-4e38-a067-cf88882ef090
Inferno,2023-06-05,4 : 16,1.67,15,17,0.88,50,64,Gamers Club,/app/match-details/7486ed72-6845-490d-8b1f-b7c4c40ad142
Overpass,2023-06-05,12 : 16,4.46,31,18,1.72,89,46,Gamers Club,/app/match-details/0c3bf001-c56e-4b54-aedf-427ff891194a
Vertigo,2023-06-03,16 : 10,4.63,28,16,1.75,77,48,Gamers Club,/app/match-details/092feed4-11e8-402c-94c0-98a1352cba3b
Anubis,2023-06-03,16 : 8,10.15,27,12,2.25,83,68,Gamers Club,/app/match-details/c62d2d67-6ff2-4cc6-9c81-d8ea2bc98f96
Dust2,2023-06-03,16 : 7,-1.17,19,16,1.19,66,56,Gamers Club,/app/match-details/45f41a2a-1d71-413f-9931-938643a7ae69
Ancient,2023-06-02,9 : 16,-5.06,15,21,0.71,74,50,Gamers Club,/app/match-details/b5f8d830-33d9-4723-957a-949260b29d34
Inferno,2023-06-02,16 : 12,7.47,31,15,2.07,80,56,Gamers Club,/app/match-details/457a161d-379e-488c-8a80-c4ac78bb430c
Anubis,2023-06-02,16 : 11,-2.5,13,16,0.81,85,39,Gamers Club,/app/match-details/b21b46c8-f5a4-4cfd-bb98-1a5869ba00f5
Dust2,2023-05-30,16 : 12,5.4,25,18,1.39,94,59,Gamers Club,/app/match-details/0e8d876c-13ad-4ce9-89a4-49cff6b110a8
Ancient,2023-05-30,22 : 25,1.51,37,31,1.19,83,50,Gamers Club,/app/match-details/9f75ef76-89a7-4b77-b8fd-4a7f76c9005f
Inferno,2023-05-29,9 : 16,-2.13,19,18,1.06,95,61,Gamers Club,/app/match-details/2b9c9294-aa93-4ad4-bcac-6f046ce965e3
Inferno,2023-05-27,13 : 16,-0.02,24,19,1.26,79,73,Gamers Club,/app/match-details/7b2e4388-6ef3-40e2-8932-d6dea3048837
Anubis,2023-05-27,16 : 11,15.82,39,15,2.6,86,52,Gamers Club,/app/match-details/c0ab61d3-0784-4100-bc47-11c715b3e356
Ancient,2023-05-25,16 : 7,1.79,18,14,1.29,82,57,Gamers Club,/app/match-details/e4e35503-959f-4b3a-9180-de3167315863
Inferno,2023-05-25,10 : 16,5.76,24,22,1.09,93,51,Gamers Club,/app/match-details/bb6ff87f-a706-48ba-9ee8-3baa04a51f15
Anubis,2023-05-22,16 : 9,11.88,34,15,2.27,90,47,Gamers Club,/app/match-details/8ac00fa5-8917-453f-97a8-50380456bfc9
Overpass,2023-05-22,16 : 19,5.16,34,24,1.42,77,56,Gamers Club,/app/match-details/f163c81e-5e09-4b00-9794-537ca5506466
Inferno,2023-05-22,6 : 16,-6.98,15,18,0.83,72,71,Gamers Club,/app/match-details/d8a746af-9151-4941-bb0f-4078179c75dc
Ancient,2023-05-22,16 : 6,2.38,19,12,1.58,69,50,Gamers Club,/app/match-details/327da578-4ff6-4a8a-b7f3-7e5d323bc4ca
Inferno,2023-05-15,17 : 19,6.08,30,24,1.25,82,71,Gamers Club,/app/match-details/49deb9fe-6b0f-4136-9ce2-598c765a80fb
Anubis,2023-05-15,11 : 16,-3.3,14,21,0.67,83,49,Gamers Club,/app/match-details/29baf5aa-0ab5-4129-9413-c9e01722abcc
Dust2,2023-05-15,2 : 16,-4.95,9,16,0.56,71,68,Gamers Club,/app/match-details/434f15d5-378d-4728-b8c3-99db68f2958b
Dust2,2023-05-14,8 : 16,-4.2,13,18,0.72,97,53,Steam,/app/match-details/253b61c3-cceb-44cd-989d-30065a501784
Anubis,2023-05-14,9 : 2,13.87,12,4,3.0,75,31,Steam,/app/match-details/cc694390-01bf-44ba-b5b6-a26bfba4a0ec
Inferno,2023-05-14,14 : 16,7.62,25,21,1.19,90,52,Gamers Club,/app/match-details/ff8bc595-a46d-4550-b10c-b1a951b62aac
Vertigo,2023-05-13,16 : 11,3.46,24,17,1.41,88,74,Gamers Club,/app/match-details/706086d1-b8f6-47f7-b505-c954d37793ad
Inferno,2023-05-13,13 : 16,4.14,27,17,1.59,90,66,Gamers Club,/app/match-details/1f801961-7b06-4549-9b6d-4f499da8c745
Vertigo,2023-05-13,16 : 14,0.42,18,23,0.78,86,61,Gamers Club,/app/match-details/cffe31eb-a3e9-42a2-af76-c25ed95bd7ea
Mirage,2023-05-13,10 : 16,1.83,21,18,1.17,81,63,Steam,/app/match-details/cfdf11a6-f727-480b-9031-02bfdc4c9236
Inferno,2023-05-13,9 : 3,1.57,13,8,1.63,74,82,Steam,/app/match-details/5293f8d6-2e5a-4a28-a51f-719f67eb8095
Dust2,2023-05-13,9 : 5,6.97,16,12,1.33,94,43,Steam,/app/match-details/db8a6ddd-ab6f-4cda-90e6-5b558b958d9e
Dust2,2023-05-08,16 : 14,15.91,42,16,2.63,97,53,Gamers Club,/app/match-details/865c4f59-a5b2-43a2-8986-9033897f5c6d
Inferno,2023-05-08,16 : 12,8.16,30,16,1.88,82,64,Gamers Club,/app/match-details/da84ee61-5871-42f7-a349-e424e1514450
Ancient,2023-05-08,16 : 8,8.9,21,11,1.91,94,64,Gamers Club,/app/match-details/0d10d915-3fba-45bc-af45-2e3ad82d11a0
Overpass,2023-05-03,16 : 10,4.67,25,18,1.39,70,40,Gamers Club,/app/match-details/f63884dd-86a8-4652-a636-c2829a9851b4
Vertigo,2023-05-03,16 : 8,-0.09,17,15,1.13,81,53,Gamers Club,/app/match-details/322856db-7e0c-4d2b-9f5e-dcfbdaef14e1
Anubis,2023-05-03,11 : 16,-3.65,17,20,0.85,81,48,Gamers Club,/app/match-details/d7d6423d-823a-450b-acfe-b6f07886bdd9
Ancient,2023-05-03,8 : 16,3.3,21,19,1.11,88,56,Gamers Club,/app/match-details/94162c68-662a-4588-ace6-5b1928522219
Dust2,2023-05-01,19 : 17,3.11,26,24,1.08,76,60,Gamers Club,/app/match-details/2da4c6a6-c8d0-4af9-a437-c33d6cae30eb
Ancient,2023-05-01,12 : 16,-0.6,13,18,0.72,75,77,Gamers Club,/app/match-details/db6e018b-25b0-4d3a-9eba-76122fd95979
Inferno,2023-05-01,8 : 16,7.99,25,17,1.47,96,60,Gamers Club,/app/match-details/b8bd029b-336f-4396-946c-ed31f7b72adc
Inferno,2023-05-01,12 : 16,-2.42,22,21,1.05,88,65,Gamers Club,/app/match-details/da938eb3-4303-46d4-81cc-c6442c25180d
Vertigo,2023-05-01,15 : 18,-0.31,31,23,1.35,90,48,Gamers Club,/app/match-details/6081a21c-cd29-4a65-95e2-d02ecf75c42b
Ancient,2023-05-01,4 : 16,-1.35,12,18,0.67,63,77,Gamers Club,/app/match-details/b833f358-9624-4d53-9f2d-f1e870683a0b
Ancient,2023-04-29,13 : 16,0.53,24,21,1.14,82,31,Gamers Club,/app/match-details/e9a5f06e-ddb4-46c5-a609-c3edcfad51a1
