Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Ancient,20 hours ago,16 : 8,3.11,18,11,1.64,57,67,Gamers Club,/app/match-details/a38bbd75-a96e-47c6-99ad-5e09d88baee5
Anubis,2023-06-18,13 : 16,0.97,20,19,1.05,72,56,Gamers Club,/app/match-details/8902ba4f-847e-4618-839c-a8b8cdcaea7d
Dust2,2023-06-18,16 : 10,-3.38,14,16,0.88,64,43,Gamers Club,/app/match-details/e223f5d8-7a60-439d-8187-95b32a09e217
Inferno,2023-06-17,13 : 16,-6.15,12,25,0.48,66,73,Gamers Club,/app/match-details/6e053bbd-d223-4e0f-8ea8-fe3d7d88e097
Ancient,2023-06-17,16 : 10,-3.92,16,16,1.0,63,47,Gamers Club,/app/match-details/5197ea2a-8d53-4a9c-9c9e-eed0935551a4
Inferno,2023-06-17,16 : 12,3.31,20,18,1.11,59,52,Gamers Club,/app/match-details/37d34a8c-dbfa-4ed5-8f66-d91081b3ac5a
Ancient,2023-06-15,16 : 14,5.3,21,20,1.05,67,50,Gamers Club,/app/match-details/88e06955-d232-42df-b7a9-6c5d25822eec
Dust2,2023-06-15,7 : 16,-4.19,8,21,0.38,75,77,Gamers Club,/app/match-details/0ddc948b-9486-4078-b3e1-cdd27fe50050
Vertigo,2023-06-15,16 : 9,-0.62,15,15,1.0,69,62,Gamers Club,/app/match-details/16c80f27-8277-4dfb-a52a-5eb46961fcaf
Nuke,2023-06-15,16 : 4,6.05,19,8,2.38,62,35,Steam,/app/match-details/ae188ba5-bc2d-43c9-9a68-3153b315e098
Mirage,2023-06-15,9 : 7,0.73,10,10,1.0,34,47,Steam,/app/match-details/d36f83bb-436e-47fd-9fd7-21649e56ad4b
Vertigo,2023-06-14,11 : 16,0.12,12,18,0.67,57,69,Gamers Club,/app/match-details/10706553-1d1a-47ef-b5d7-a9259f0bbbad
Dust2,2023-06-14,16 : 7,-3.18,18,12,1.5,65,55,Gamers Club,/app/match-details/d8132d78-ab6e-4547-a03c-620d791c8029
Anubis,2023-06-14,16 : 13,2.07,21,18,1.17,77,40,Gamers Club,/app/match-details/8f697ef8-40ed-4b02-bd13-1f1e6900ce50
Anubis,2023-06-13,15 : 15,-6.14,18,24,0.75,63,57,Steam,/app/match-details/46dad885-1abc-4bee-b7c9-c17ddef43ccb
Anubis,2023-06-13,6 : 0,12.39,9,2,4.5,90,23,Steam,/app/match-details/625a5ee7-7667-4069-8a35-a18ec4bb4a43
Vertigo,2023-06-05,14 : 16,-5.06,14,22,0.64,61,72,Gamers Club,/app/match-details/b3863422-1576-4e38-a067-cf88882ef090
Inferno,2023-06-05,4 : 16,-1.23,15,17,0.88,68,65,Gamers Club,/app/match-details/7486ed72-6845-490d-8b1f-b7c4c40ad142
