Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Vertigo,16 hours ago,16 : 9,-0.41,15,16,0.94,69,58,Gamers Club,/app/match-details/77668484-31bb-40ff-b8c8-fa9057f0de7f
Inferno,17 hours ago,14 : 16,-1.83,12,18,0.67,63,55,Gamers Club,/app/match-details/f84fcf02-856a-4c80-aed5-17ed0d8cf450
Nuke,18 hours ago,7 : 16,1.09,17,16,1.06,78,53,Gamers Club,/app/match-details/53b68918-fbf1-40a8-8f66-071572b99021
Anubis,2023-06-18,13 : 16,-2.77,22,25,0.88,82,60,Gamers Club,/app/match-details/8902ba4f-847e-4618-839c-a8b8cdcaea7d
Dust2,2023-06-18,16 : 10,1.57,22,18,1.22,67,67,Gamers Club,/app/match-details/e223f5d8-7a60-439d-8187-95b32a09e217
Inferno,2023-06-17,16 : 12,3.64,28,19,1.47,61,67,Gamers Club,/app/match-details/37d34a8c-dbfa-4ed5-8f66-d91081b3ac5a
Dust2,2023-06-16,16 : 9,0.61,20,15,1.33,80,49,Steam,/app/match-details/cd1ff825-5233-4bf5-92c8-c0921da202b1
Ancient,2023-06-16,12 : 16,-6.25,12,23,0.52,81,69,Gamers Club,/app/match-details/3f75496b-a101-493f-afe5-cdf629dbd68b
Dust2,2023-06-16,13 : 16,-2.63,18,23,0.78,56,43,Gamers Club,/app/match-details/35e84fb7-6828-4eec-a535-862a2afae652
Ancient,2023-06-15,16 : 14,5.22,25,20,1.25,71,51,Gamers Club,/app/match-details/88e06955-d232-42df-b7a9-6c5d25822eec
Dust2,2023-06-15,7 : 16,-3.18,10,21,0.48,50,67,Gamers Club,/app/match-details/0ddc948b-9486-4078-b3e1-cdd27fe50050
Vertigo,2023-06-15,16 : 9,3.1,21,17,1.24,71,41,Gamers Club,/app/match-details/16c80f27-8277-4dfb-a52a-5eb46961fcaf
Vertigo,2023-06-14,11 : 16,-5.6,19,24,0.79,58,37,Gamers Club,/app/match-details/10706553-1d1a-47ef-b5d7-a9259f0bbbad
Dust2,2023-06-14,16 : 7,-1.91,20,16,1.25,54,50,Gamers Club,/app/match-details/d8132d78-ab6e-4547-a03c-620d791c8029
Anubis,2023-06-14,16 : 13,-4.33,16,23,0.7,55,53,Gamers Club,/app/match-details/8f697ef8-40ed-4b02-bd13-1f1e6900ce50
Anubis,2023-06-13,15 : 15,-1.25,20,22,0.91,73,60,Steam,/app/match-details/46dad885-1abc-4bee-b7c9-c17ddef43ccb
Anubis,2023-06-13,6 : 0,3.44,6,2,3.0,52,61,Steam,/app/match-details/625a5ee7-7667-4069-8a35-a18ec4bb4a43
Mirage,2023-06-13,5 : 16,-3.39,16,19,0.84,71,41,Steam,/app/match-details/4533ed70-8a1a-44c5-b7dc-393970b710db
Inferno,2023-06-13,8 : 16,-0.96,16,22,0.73,61,52,Steam,/app/match-details/d87c17be-71c2-487e-90fb-358db2104eea
Ancient,2023-06-12,16 : 12,1.97,21,20,1.05,92,54,Gamers Club,/app/match-details/48202268-3349-44eb-b4d9-b791056f419a
Inferno,2023-06-12,13 : 16,-3.18,19,18,1.06,71,54,Gamers Club,/app/match-details/1122099b-7fd7-40af-b40b-d7d0ea2c4938
Dust2,2023-06-12,16 : 6,-1.31,14,12,1.17,58,43,Gamers Club,/app/match-details/119ef887-82bc-43cc-b353-958504c11b91
Mirage,2023-06-08,16 : 13,-3.94,18,24,0.75,88,58,Steam,/app/match-details/7bb51d9f-3361-492a-a315-237f0c3e73dd
Vertigo,2023-06-07,7 : 16,-5.78,16,21,0.76,79,54,Gamers Club,/app/match-details/a3343109-1e77-48ae-9bb7-bfec5a91b390
Overpass,2023-06-06,14 : 16,1.14,28,20,1.4,89,45,Gamers Club,/app/match-details/28947206-db6f-45e0-a93c-e7e1b0fd6b8b
Vertigo,2023-06-05,14 : 16,-1.08,20,24,0.83,52,50,Gamers Club,/app/match-details/b3863422-1576-4e38-a067-cf88882ef090
Inferno,2023-06-05,4 : 16,-8.21,4,18,0.22,36,65,Gamers Club,/app/match-details/7486ed72-6845-490d-8b1f-b7c4c40ad142
Overpass,2023-06-05,12 : 16,4.06,29,17,1.71,83,35,Gamers Club,/app/match-details/0c3bf001-c56e-4b54-aedf-427ff891194a
Vertigo,2023-06-03,16 : 10,3.1,20,17,1.18,74,62,Gamers Club,/app/match-details/092feed4-11e8-402c-94c0-98a1352cba3b
Anubis,2023-06-03,16 : 8,0.48,20,16,1.25,70,55,Gamers Club,/app/match-details/c62d2d67-6ff2-4cc6-9c81-d8ea2bc98f96
Dust2,2023-06-03,16 : 7,9.45,29,12,2.42,81,54,Gamers Club,/app/match-details/45f41a2a-1d71-413f-9931-938643a7ae69
Ancient,2023-06-02,9 : 16,0.49,20,19,1.05,67,57,Gamers Club,/app/match-details/b5f8d830-33d9-4723-957a-949260b29d34
Inferno,2023-06-02,16 : 12,-0.37,15,17,0.88,85,54,Gamers Club,/app/match-details/457a161d-379e-488c-8a80-c4ac78bb430c
Vertigo,2023-05-31,7 : 16,-1.54,20,20,1.0,82,47,Gamers Club,/app/match-details/bd0b259b-ad8f-49a1-91be-b3727aa34ace
Dust2,2023-05-30,16 : 12,2.89,25,18,1.39,69,56,Gamers Club,/app/match-details/0e8d876c-13ad-4ce9-89a4-49cff6b110a8
Ancient,2023-05-29,16 : 8,1.45,18,11,1.64,85,48,Gamers Club,/app/match-details/d19672c1-dd77-476e-9f89-f9ccc0362075
Nuke,2023-05-28,16 : 14,1.75,25,23,1.09,56,50,Gamers Club,/app/match-details/81b1b57d-9492-46e6-a4e5-ea1f32fcb6e2
Overpass,2023-05-28,16 : 14,4.53,31,22,1.41,72,40,Gamers Club,/app/match-details/3b5d49bc-dca6-444a-921c-dfc36cee177c
Ancient,2023-05-28,16 : 3,6.88,19,7,2.71,75,52,Gamers Club,/app/match-details/84a7c8f2-e419-4071-8dff-4dfc5fdad32d
Ancient,2023-05-25,16 : 7,3.9,19,13,1.46,68,57,Gamers Club,/app/match-details/e4e35503-959f-4b3a-9180-de3167315863
Inferno,2023-05-25,10 : 16,-4.96,19,22,0.86,70,69,Gamers Club,/app/match-details/bb6ff87f-a706-48ba-9ee8-3baa04a51f15
Inferno,2023-05-24,9 : 16,-1.68,13,20,0.65,91,69,Gamers Club,/app/match-details/eab96a2e-3843-4792-a8c8-9396e0e4ca5c
Anubis,2023-05-22,16 : 9,-6.57,10,19,0.53,93,50,Gamers Club,/app/match-details/8ac00fa5-8917-453f-97a8-50380456bfc9
Overpass,2023-05-22,16 : 19,-2.07,24,24,1.0,79,57,Gamers Club,/app/match-details/f163c81e-5e09-4b00-9794-537ca5506466
Inferno,2023-05-22,6 : 16,-6.29,10,20,0.5,64,58,Gamers Club,/app/match-details/d8a746af-9151-4941-bb0f-4078179c75dc
Ancient,2023-05-22,16 : 6,5.97,18,13,1.38,64,50,Gamers Club,/app/match-details/327da578-4ff6-4a8a-b7f3-7e5d323bc4ca
Vertigo,2023-05-21,11 : 16,-2.13,16,23,0.7,57,36,Gamers Club,/app/match-details/b136f2fe-73ee-4fdd-9549-29bdbf7df39f
Inferno,2023-05-21,16 : 13,4.34,26,18,1.44,81,58,Gamers Club,/app/match-details/8197cd0a-2e97-4628-baef-889adeaf2e12
Ancient,2023-05-21,16 : 10,8.5,31,15,2.07,85,66,Gamers Club,/app/match-details/b0c1b5ff-2ff2-4642-9fd4-8bbd0de8c6e1
Inferno,2023-05-21,16 : 10,2.29,23,21,1.1,67,55,Gamers Club,/app/match-details/4c34dc61-2b44-44ab-af43-5cb4fea9d17d
Ancient,2023-05-21,16 : 4,4.46,19,12,1.58,63,67,Gamers Club,/app/match-details/6e6bdf94-3023-40ec-a16f-40131f9840be
Inferno,2023-05-19,19 : 17,5.46,27,24,1.13,93,74,Gamers Club,/app/match-details/a7a058b6-1e29-43f8-a21b-78d126f1784a
Ancient,2023-05-19,16 : 6,2.46,19,14,1.36,82,65,Gamers Club,/app/match-details/76c5e1dd-ed72-4061-9b62-f9fce3f6db4e
Vertigo,2023-05-19,16 : 6,4.4,17,10,1.7,85,53,Gamers Club,/app/match-details/858d2367-1eb9-4619-b10a-92a060335523
Inferno,2023-05-18,16 : 11,1.45,20,16,1.25,80,67,Gamers Club,/app/match-details/d762dcc6-5c9f-488f-b075-1713687c0b88
Vertigo,2023-05-18,11 : 16,-3.89,15,19,0.79,70,53,Gamers Club,/app/match-details/34b1db51-ea9a-4875-b6b0-bd029557aa87
Inferno,2023-05-15,17 : 19,-3.64,22,23,0.96,77,59,Gamers Club,/app/match-details/49deb9fe-6b0f-4136-9ce2-598c765a80fb
Inferno,2023-05-14,16 : 1,3.07,12,6,2.0,74,69,Gamers Club,/app/match-details/b25de822-1de9-4433-9baf-2c8fb7c5c58c
Vertigo,2023-05-14,4 : 16,-7.18,8,18,0.44,90,50,Gamers Club,/app/match-details/2b3be38b-2a0b-4186-9b56-849eafcb529e
Dust2,2023-05-14,8 : 16,-3.62,15,19,0.79,59,46,Steam,/app/match-details/253b61c3-cceb-44cd-989d-30065a501784
