Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Vertigo,16 hours ago,16 : 9,-1.19,18,17,1.06,58,37,Gamers Club,/app/match-details/77668484-31bb-40ff-b8c8-fa9057f0de7f
Inferno,17 hours ago,14 : 16,-3.74,9,18,0.5,71,60,Gamers Club,/app/match-details/f84fcf02-856a-4c80-aed5-17ed0d8cf450
Nuke,18 hours ago,7 : 16,-6.21,9,22,0.41,60,68,Gamers Club,/app/match-details/53b68918-fbf1-40a8-8f66-071572b99021
Ancient,20 hours ago,16 : 8,0.12,15,14,1.07,55,70,Gamers Club,/app/match-details/a38bbd75-a96e-47c6-99ad-5e09d88baee5
Anubis,2023-06-18,13 : 16,4.58,30,22,1.36,65,72,Gamers Club,/app/match-details/8902ba4f-847e-4618-839c-a8b8cdcaea7d
Dust2,2023-06-18,16 : 10,-1.93,14,13,1.08,57,61,Gamers Club,/app/match-details/e223f5d8-7a60-439d-8187-95b32a09e217
Inferno,2023-06-17,13 : 16,2.87,21,17,1.24,56,74,Gamers Club,/app/match-details/6e053bbd-d223-4e0f-8ea8-fe3d7d88e097
Ancient,2023-06-17,16 : 10,8.29,30,18,1.67,74,62,Gamers Club,/app/match-details/5197ea2a-8d53-4a9c-9c9e-eed0935551a4
Inferno,2023-06-17,16 : 12,-2.84,13,19,0.68,54,52,Gamers Club,/app/match-details/37d34a8c-dbfa-4ed5-8f66-d91081b3ac5a
Ancient,2023-06-15,16 : 14,0.69,23,22,1.05,62,48,Gamers Club,/app/match-details/88e06955-d232-42df-b7a9-6c5d25822eec
Dust2,2023-06-15,7 : 16,3.68,20,19,1.05,75,66,Gamers Club,/app/match-details/0ddc948b-9486-4078-b3e1-cdd27fe50050
Vertigo,2023-06-15,16 : 9,5.14,23,13,1.77,78,36,Gamers Club,/app/match-details/16c80f27-8277-4dfb-a52a-5eb46961fcaf
Nuke,2023-06-15,16 : 4,7.53,22,10,2.2,87,39,Steam,/app/match-details/ae188ba5-bc2d-43c9-9a68-3153b315e098
Mirage,2023-06-15,9 : 7,11.41,18,10,1.8,52,52,Steam,/app/match-details/d36f83bb-436e-47fd-9fd7-21649e56ad4b
Vertigo,2023-06-14,11 : 16,-0.52,18,23,0.78,45,58,Gamers Club,/app/match-details/10706553-1d1a-47ef-b5d7-a9259f0bbbad
Dust2,2023-06-14,16 : 7,11.79,23,11,2.09,50,56,Gamers Club,/app/match-details/d8132d78-ab6e-4547-a03c-620d791c8029
Anubis,2023-06-14,16 : 13,-2.17,24,20,1.2,85,50,Gamers Club,/app/match-details/8f697ef8-40ed-4b02-bd13-1f1e6900ce50
Anubis,2023-06-13,15 : 15,2.31,22,22,1.0,79,44,Steam,/app/match-details/46dad885-1abc-4bee-b7c9-c17ddef43ccb
Anubis,2023-06-13,6 : 0,0.04,0,1,0.0,42,66,Steam,/app/match-details/625a5ee7-7667-4069-8a35-a18ec4bb4a43
Ancient,2023-06-12,16 : 12,-0.11,23,22,1.05,56,75,Gamers Club,/app/match-details/48202268-3349-44eb-b4d9-b791056f419a
Inferno,2023-06-12,13 : 16,-3.17,15,21,0.71,58,58,Gamers Club,/app/match-details/1122099b-7fd7-40af-b40b-d7d0ea2c4938
Dust2,2023-06-12,16 : 6,11.35,28,11,2.55,75,63,Gamers Club,/app/match-details/119ef887-82bc-43cc-b353-958504c11b91
Overpass,2023-06-06,14 : 16,-1.16,19,20,0.95,63,50,Gamers Club,/app/match-details/28947206-db6f-45e0-a93c-e7e1b0fd6b8b
Vertigo,2023-06-05,14 : 16,2.71,23,20,1.15,67,63,Gamers Club,/app/match-details/b3863422-1576-4e38-a067-cf88882ef090
Inferno,2023-06-05,4 : 16,-3.39,16,18,0.89,63,57,Gamers Club,/app/match-details/7486ed72-6845-490d-8b1f-b7c4c40ad142
Overpass,2023-06-05,12 : 16,-2.2,22,21,1.05,81,47,Gamers Club,/app/match-details/0c3bf001-c56e-4b54-aedf-427ff891194a
Vertigo,2023-06-03,16 : 10,-6.46,13,21,0.62,71,32,Gamers Club,/app/match-details/092feed4-11e8-402c-94c0-98a1352cba3b
Anubis,2023-06-03,16 : 8,-5.12,11,16,0.69,48,38,Gamers Club,/app/match-details/c62d2d67-6ff2-4cc6-9c81-d8ea2bc98f96
Dust2,2023-06-03,16 : 7,4.08,15,11,1.36,56,56,Gamers Club,/app/match-details/45f41a2a-1d71-413f-9931-938643a7ae69
Ancient,2023-06-02,9 : 16,-1.12,14,19,0.74,83,64,Gamers Club,/app/match-details/b5f8d830-33d9-4723-957a-949260b29d34
Inferno,2023-06-02,16 : 12,-0.49,14,17,0.82,59,59,Gamers Club,/app/match-details/457a161d-379e-488c-8a80-c4ac78bb430c
Anubis,2023-06-02,16 : 11,9.44,32,18,1.78,84,33,Gamers Club,/app/match-details/b21b46c8-f5a4-4cfd-bb98-1a5869ba00f5
Ancient,2023-06-01,16 : 4,9.33,22,12,1.83,68,42,Gamers Club,/app/match-details/e246779c-8bce-47f2-92d3-25d9eed0f9c8
Anubis,2023-06-01,16 : 7,-0.11,18,12,1.5,83,32,Gamers Club,/app/match-details/cb9379fd-449d-4cd4-a071-dbcc164181d1
Vertigo,2023-05-31,7 : 16,0.51,16,19,0.84,73,71,Gamers Club,/app/match-details/bd0b259b-ad8f-49a1-91be-b3727aa34ace
Dust2,2023-05-30,16 : 12,2.67,20,19,1.05,56,42,Gamers Club,/app/match-details/0e8d876c-13ad-4ce9-89a4-49cff6b110a8
Ancient,2023-05-30,22 : 25,1.62,35,29,1.21,67,48,Gamers Club,/app/match-details/9f75ef76-89a7-4b77-b8fd-4a7f76c9005f
Nuke,2023-05-28,16 : 14,0.77,22,22,1.0,56,66,Gamers Club,/app/match-details/81b1b57d-9492-46e6-a4e5-ea1f32fcb6e2
Overpass,2023-05-28,16 : 14,-2.9,19,22,0.86,57,38,Gamers Club,/app/match-details/3b5d49bc-dca6-444a-921c-dfc36cee177c
Ancient,2023-05-28,16 : 3,7.12,16,7,2.29,68,79,Gamers Club,/app/match-details/84a7c8f2-e419-4071-8dff-4dfc5fdad32d
Inferno,2023-05-27,13 : 16,-2.44,26,20,1.3,57,63,Gamers Club,/app/match-details/7b2e4388-6ef3-40e2-8932-d6dea3048837
Anubis,2023-05-27,16 : 11,1.91,18,18,1.0,67,40,Gamers Club,/app/match-details/c0ab61d3-0784-4100-bc47-11c715b3e356
Ancient,2023-05-25,16 : 7,5.59,26,15,1.73,67,55,Gamers Club,/app/match-details/e4e35503-959f-4b3a-9180-de3167315863
