Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Ancient,2 hours ago,15 : 15,4.54,32,20,1.6,84,50,Steam,/app/match-details/97047f69-81c0-4340-8c35-5cde7ae1724d
Vertigo,16 hours ago,16 : 9,4.83,26,15,1.73,76,58,Gamers Club,/app/match-details/77668484-31bb-40ff-b8c8-fa9057f0de7f
Inferno,17 hours ago,14 : 16,-2.9,16,23,0.7,74,53,Gamers Club,/app/match-details/f84fcf02-856a-4c80-aed5-17ed0d8cf450
Nuke,18 hours ago,7 : 16,-5.05,10,22,0.45,67,51,Gamers Club,/app/match-details/53b68918-fbf1-40a8-8f66-071572b99021
Anubis,2023-06-18,13 : 16,-1.15,17,21,0.81,89,56,Gamers Club,/app/match-details/8902ba4f-847e-4618-839c-a8b8cdcaea7d
Dust2,2023-06-18,16 : 10,8.61,35,12,2.92,82,59,Gamers Club,/app/match-details/e223f5d8-7a60-439d-8187-95b32a09e217
Dust2,2023-06-18,16 : 14,-2.87,17,26,0.65,72,65,Steam,/app/match-details/7ad5fde1-7ef5-48e2-a14d-4f79a659f7b7
Dust2,2023-06-18,7 : 0,5.33,6,0,6.0,88,41,Steam,/app/match-details/bafbfcba-2c25-45ad-a3ef-56c768e2f14c
Inferno,2023-06-17,13 : 16,4.53,27,21,1.29,86,33,Gamers Club,/app/match-details/6e053bbd-d223-4e0f-8ea8-fe3d7d88e097
Ancient,2023-06-17,16 : 10,2.4,19,16,1.19,81,62,Gamers Club,/app/match-details/5197ea2a-8d53-4a9c-9c9e-eed0935551a4
Dust2,2023-06-16,16 : 9,2.28,22,16,1.38,66,44,Steam,/app/match-details/cd1ff825-5233-4bf5-92c8-c0921da202b1
Ancient,2023-06-16,12 : 16,-2.96,17,24,0.71,87,37,Gamers Club,/app/match-details/3f75496b-a101-493f-afe5-cdf629dbd68b
Dust2,2023-06-16,13 : 16,-2.68,18,19,0.95,84,58,Gamers Club,/app/match-details/35e84fb7-6828-4eec-a535-862a2afae652
Ancient,2023-06-15,16 : 14,3.08,25,23,1.09,71,44,Gamers Club,/app/match-details/88e06955-d232-42df-b7a9-6c5d25822eec
Dust2,2023-06-15,7 : 16,-4.45,14,18,0.78,84,70,Gamers Club,/app/match-details/0ddc948b-9486-4078-b3e1-cdd27fe50050
Mirage,2023-06-15,9 : 7,-1.12,13,13,1.0,62,65,Steam,/app/match-details/d36f83bb-436e-47fd-9fd7-21649e56ad4b
