Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Anubis,2023-06-18,13 : 16,-7.26,14,25,0.56,63,63,Gamers Club,/app/match-details/8902ba4f-847e-4618-839c-a8b8cdcaea7d
Dust2,2023-06-18,16 : 10,0.71,18,10,1.8,80,54,Gamers Club,/app/match-details/e223f5d8-7a60-439d-8187-95b32a09e217
Inferno,2023-06-17,13 : 16,-4.18,13,25,0.52,49,55,Gamers Club,/app/match-details/6e053bbd-d223-4e0f-8ea8-fe3d7d88e097
Inferno,2023-06-17,16 : 12,0.56,19,15,1.27,72,71,Gamers Club,/app/match-details/37d34a8c-dbfa-4ed5-8f66-d91081b3ac5a
Ancient,2023-06-15,16 : 14,-6.51,10,21,0.48,46,47,Gamers Club,/app/match-details/88e06955-d232-42df-b7a9-6c5d25822eec
Dust2,2023-06-15,7 : 16,-2.36,14,19,0.74,55,59,Gamers Club,/app/match-details/0ddc948b-9486-4078-b3e1-cdd27fe50050
Vertigo,2023-06-15,16 : 9,4.26,19,10,1.9,57,58,Gamers Club,/app/match-details/16c80f27-8277-4dfb-a52a-5eb46961fcaf
Vertigo,2023-06-14,9 : 4,6.36,9,8,1.13,52,59,Steam,/app/match-details/6ab3c7ed-5276-4378-97c6-de3bffecbe2e
Inferno,2023-06-14,3 : 9,-3.13,9,9,1.0,67,52,Steam,/app/match-details/072d8efb-d061-43bf-90d8-aaf004aa84d0
Inferno,2023-06-14,9 : 6,-1.72,6,8,0.75,15,61,Steam,/app/match-details/8f35af00-2509-4ab0-9904-9dfe6a3bdb6c
Inferno,2023-06-02,16 : 12,-0.19,16,14,1.14,66,67,Gamers Club,/app/match-details/457a161d-379e-488c-8a80-c4ac78bb430c
Anubis,2023-06-02,16 : 11,1.96,14,16,0.88,76,50,Gamers Club,/app/match-details/b21b46c8-f5a4-4cfd-bb98-1a5869ba00f5
Vertigo,2023-06-02,8 : 8,5.25,13,10,1.3,64,41,Steam,/app/match-details/ac0d38fd-d40d-47db-9380-43a58e38fcc6
Inferno,2023-06-01,16 : 12,9.9,26,17,1.53,63,54,Steam,/app/match-details/1243414d-8ee2-4304-bc5b-588a12b7bef4
Ancient,2023-06-01,16 : 4,5.82,14,12,1.17,63,56,Gamers Club,/app/match-details/e246779c-8bce-47f2-92d3-25d9eed0f9c8
Anubis,2023-06-01,16 : 7,-0.51,15,13,1.15,84,61,Gamers Club,/app/match-details/cb9379fd-449d-4cd4-a071-dbcc164181d1
Vertigo,2023-06-01,9 : 6,10.59,14,9,1.56,53,59,Steam,/app/match-details/8864ea8f-51a2-4ffb-98d3-9637d6caf843
Inferno,2023-05-27,16 : 14,0.17,18,18,1.0,61,48,Steam,/app/match-details/6406ee0c-d062-4cb9-9591-a99f9476841d
Nuke,2023-05-27,6 : 16,-4.05,13,19,0.68,66,59,Steam,/app/match-details/193910b7-731b-4e37-9410-573c1ba78917
Overpass,2023-05-27,9 : 16,5.02,28,20,1.4,61,35,Steam,/app/match-details/465a864a-cbd4-42ea-8904-b363779fbb4b
Inferno,2023-05-27,13 : 16,-0.64,26,25,1.04,71,59,Gamers Club,/app/match-details/7b2e4388-6ef3-40e2-8932-d6dea3048837
